EP012000,             ALETTA,     23,
20001028, 0600,  , TD, 11.7N, 123.4W,  30, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001028, 1200,  , TD, 11.7N, 124.9W,  30, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001028, 1800,  , TD, 11.6N, 126.7W,  30, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001029, 0000,  , TD, 11.7N, 128.5W,  25, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
EP192000,               ROSA,     21,
20001103, 1800,  , TD, 10.3N,  89.8W,  25, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001104, 0000,  , TD, 10.6N,  90.7W,  30, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001104, 0600,  , TD, 10.7N,  91.8W,  30, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001104, 1200,  , TD, 10.6N,  92.8W,  30, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001104, 1800,  , TD, 10.4N,  94.2W,  30, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001105, 0000,  , TD, 10.4N,  95.2W,  30, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001105, 0600,  , TD, 10.5N,  96.1W,  30, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001105, 1200,  , TS, 10.8N,  97.0W,  35, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001105, 1800,  , TS, 11.0N,  97.9W,  40, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001106, 0000,  , TS, 11.4N,  98.5W,  50,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001106, 0600,  , TS, 11.8N,  98.8W,  55,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001106, 1200,  , TS, 12.3N,  98.8W,  55,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001106, 1800,  , TS, 12.7N,  98.7W,  55,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001107, 0000,  , TS, 13.2N,  98.7W,  55,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001107, 0600,  , TS, 13.6N,  98.2W,  50,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001107, 1200,  , TS, 14.0N,  97.7W,  50,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001107, 1800,  , TS, 14.5N,  97.3W,  50, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001108, 0000,  , TS, 15.0N,  97.0W,  45, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001108, 0600,  , TS, 15.5N,  96.5W,  40, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001108, 0700, L, TS, 15.7N,  96.3W,  35, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001108, 1200,  , TD, 16.3N,  95.9W,  25, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
